10,3702,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3702,2002,32,10,0.9,12.9,3.72,0.38,3.39,0.34,3.48,0.29,3.62,0.37,309,1,302,1,1,0
10,3702,2002,32,20,0.9,12.9,3.52,0.27,3.31,0.25,3.47,0.24,3.61,0.35,307,1,299,1,1,0
10,3702,2002,32,30,0.9,12.9,3.37,0.23,3.19,0.35,3.35,0.26,3.49,0.28,309,1,298,1,1,0
10,3702,2002,32,40,0.9,12.9,3.8,0.4,3.58,0.44,3.71,0.44,3.85,0.44,304,2,296,0,1,0
10,3702,2002,32,50,0.9,12.9,4.03,0.31,4,0.35,4.16,0.26,4.29,0.31,303,2,293,1,1,0
10,3702,2002,32,100,0.9,12.9,4.13,0.31,3.99,0.35,4.19,0.27,4.32,0.34,304,2,292,0,1,0.1
10,3702,2002,32,110,0.9,12.9,4.03,0.31,3.84,0.38,4.01,0.34,4.13,0.28,306,2,292,1,1,0.1
10,3702,2002,32,120,0.9,12.9,4.46,0.4,4.49,0.42,4.77,0.35,4.98,0.4,301,2,294,2,1,0.1
10,3702,2002,32,130,0.9,12.9,4.06,0.45,3.94,0.48,4.12,0.56,4.3,0.59,304,2,295,1,1,0.1
10,3702,2002,32,140,0.9,12.9,3.88,0.38,3.58,0.35,3.6,0.38,3.75,0.42,306,1,295,1,1,0.1
10,3702,2002,32,150,0.9,12.9,3.9,0.37,3.58,0.35,3.66,0.37,3.88,0.4,306,1,299,0,1,0
10,3702,2002,32,200,0.9,12.9,3.6,0.34,3.34,0.31,3.34,0.29,3.47,0.35,302,1,299,0,1,0
10,3702,2002,32,210,0.9,12.9,3.83,0.38,3.54,0.31,3.87,0.42,4.02,0.42,304,1,295,2,1,0
10,3702,2002,32,220,0.9,12.9,4.21,0.34,3.93,0.37,3.96,0.37,4.11,0.4,306,1,295,1,1,0
10,3702,2002,32,230,0.9,12.9,4.3,0.29,4.01,0.32,4.07,0.29,4.23,0.28,300,1,294,1,1,0.1
10,3702,2002,32,240,0.9,12.9,4.56,0.38,4.23,0.37,4.2,0.37,4.32,0.35,297,4,291,3,1.2,0
10,3702,2002,32,250,0.9,12.9,4.87,0.42,4.64,0.4,4.62,0.42,4.7,0.42,292,2,286,2,1.2,0
10,3702,2002,32,300,0.9,12.9,5.51,0.35,5.25,0.38,5.29,0.38,5.41,0.38,297,4,288,2,1.2,0.1
10,3702,2002,32,310,0.5,12.9,5.37,0.38,5.02,0.29,5.03,0.31,5.24,0.38,304,1,293,3,1,0.1
10,3702,2002,32,320,0.9,12.9,5.44,0.38,5.04,0.35,5.02,0.38,5.3,0.42,308,1,300,2,1.2,0.1
