10,3707,,,PST,deg C,VDC,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,degtrue,deg,deg C,deg C
,,,,,N/A,,.765,,.765,,.765,,.765,,N/A,,N/A,,.1356,
,,,,,N/A,,.35,,.35,,.35,,.35,,0,,0,,-86.39,
ArrayID,StationID,Year,JulianDay,Time,LoggerTemp,BattVolts,50mWS,50mSDS,40mWS,40mSDS,30mWS#1,30mSDS#1,30mWS#2,30mSDS#2,49mWD,49mSDD,29mWD,29mSDD,Temp,SDTemp
10,3707,2002,80,830,7,11.8,8.5,0.8,8.31,0.76,8.29,0.73,8.12,0.7,115,5,113,5,-1.6,0
10,3707,2002,80,840,6.1,12.1,7.91,0.7,7.67,0.7,7.63,0.73,7.45,0.7,110,5,108,6,-1.1,0.1
10,3707,2002,80,850,5.7,12.2,9.03,0.95,8.84,0.95,8.77,0.99,8.55,0.99,110,4,110,5,-1.3,0.1
10,3707,2002,80,900,4.8,12.3,9.24,0.83,8.96,0.87,8.87,0.83,8.64,0.76,110,5,108,5,-1.3,0.1
10,3707,2002,80,910,4.4,12.5,8.44,0.95,8.1,0.99,8.07,0.91,7.89,0.87,110,5,108,6,-1.1,0.1
10,3707,2002,80,920,4,12.5,9.49,0.87,9.36,0.91,9.34,0.95,9.12,0.87,112,5,110,5,-1.1,0.1
10,3707,2002,80,930,4,12.5,9.56,0.76,9.32,0.83,9.24,0.87,9,0.83,115,5,114,6,-0.9,0.1
10,3707,2002,80,940,3.5,12.6,9.59,0.91,9.46,0.99,9.44,0.99,9.22,0.91,117,5,116,5,-0.9,0.1
10,3707,2002,80,950,3.5,12.6,9.76,0.73,9.66,0.76,9.64,0.76,9.36,0.76,117,4,116,5,-0.9,0.1
10,3707,2002,80,1000,3.1,12.6,9.19,0.99,8.96,1.13,8.87,1.08,8.71,1.04,116,6,114,6,-0.6,0.2
10,3707,2002,80,1010,3.1,12.7,9.69,0.87,9.56,0.91,9.59,0.95,9.32,0.91,112,6,111,6,-0.4,0.1
10,3707,2002,80,1020,3.1,12.7,9.34,1.23,9.12,1.23,9.1,1.23,8.93,1.18,115,6,114,7,-0.4,0.2
10,3707,2002,80,1030,3.1,12.8,9.71,0.99,9.51,1.13,9.49,1.04,9.27,0.99,113,7,111,8,-0.4,0.1
10,3707,2002,80,1040,3.1,12.8,9.64,1.13,9.39,1.13,9.36,1.08,9.12,1.08,111,7,109,8,-0.2,0.2
10,3707,2002,80,1050,2.7,12.8,10.21,1.18,10.02,1.23,10.02,1.29,9.81,1.23,107,6,106,8,-0.2,0.2
10,3707,2002,80,1100,3.1,12.8,9.81,0.95,9.51,1.04,9.39,1.13,9.19,1.08,110,6,109,7,0.1,0.1
10,3707,2002,80,1110,3.1,12.7,9.22,0.99,9.05,1.04,9.03,1.04,8.87,0.95,107,7,104,7,0.1,0.1
10,3707,2002,80,1120,3.1,12.8,9.27,1.08,9,1.04,8.96,1.08,8.77,1.04,108,5,106,6,-0.2,0.1
10,3707,2002,80,1130,3.1,12.8,9.27,1.29,9,1.34,8.96,1.29,8.77,1.23,111,6,109,6,0.3,0.1
