10,3718,,,PST,VDC,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,deg C
,,,,,,0.765,0.1408,,,,0.765,,,0.765,0.1408,,,,0.765,,,
,,,,,,0.349,0,,,,0.349,,,0.349,0,,,,0.349,,,
ArrayID,StationID,Year,JulianDay,Time,BattVolts,50mWS#1,49mWD,49mSDD,50mMxS#1,50mSDS#1,50mWS#2,50mMxS#2,50mSDS#2,26WS#1,24mWD,24mSDD,26mMxS#1,26mSDS#1,26mWS#2,26mMxS#2,26mSDS#2,Temp
10,3718,2007,1,10,11.91,.422,-9999,-9999,.808,.137,.349,.349,0,.349,-9999,-9999,.349,0,.349,.349,0,-3.051
10,3718,2007,1,20,11.65,.435,-9999,-9999,.961,.136,.349,.349,0,.352,-9999,-9999,.502,.02,.349,.349,0,-3.049
10,3718,2007,1,30,11.9,.353,-9999,-9999,.502,.024,.349,.349,0,.349,-9999,-9999,.349,0,.349,.349,0,-3.043
10,3718,2007,1,40,11.9,.349,-9999,-9999,.349,0,.349,.349,0,.349,-9999,-9999,.349,0,.349,.349,0,-3.024
10,3718,2007,1,50,11.89,1.1,-9999,-9999,1.879,.501,.946,1.921,.56,1.058,-9999,-9999,2.032,.518,.875,1.954,.554,-3.005
10,3718,2007,1,100,11.88,1.088,-9999,-9999,2.032,.414,.717,2.278,.595,.859,-9999,-9999,2.185,.483,.678,2.05,.529,-3.029
10,3718,2007,1,110,11.99,1.278,316.2,10.12,1.726,.343,.89,1.722,.536,1.19,307.2,25.92,1.726,.461,.585,1.732,.423,-2.991
10,3718,2007,1,120,12.1,1.465,334.9,3.186,1.879,.193,1.096,1.882,.502,1.471,338.6,4.791,2.032,.234,1.032,1.896,.564,-3.016
10,3718,2007,1,130,12.1,1.322,266.6,25.39,2.032,.273,.942,1.942,.564,1.447,265.3,27.47,2.185,.338,1.164,2.219,.635,-2.997
10,3718,2007,1,140,12.11,.521,252.2,.389,.961,.197,.349,.349,0,.408,248.5,.435,.961,.145,.349,.349,0,-2.995
10,3718,2007,1,150,12.11,.557,184,9.29,1.573,.333,.404,1.562,.24,.584,193.7,13.67,1.879,.396,.43,1.775,.307,-2.995
10,3718,2007,1,200,12.11,.355,181.2,.127,.655,.036,.349,.349,0,.349,189.8,.308,.349,0,.349,.349,0,-3.001
10,3718,2007,1,210,12.11,.355,181.2,.097,.655,.041,.349,.349,0,.349,189.7,.309,.349,0,.349,.349,0,-3.003
10,3718,2007,1,220,12.1,1.336,79.9,14.84,1.726,.298,1.046,1.773,.574,1.393,77.4,10.72,1.879,.335,1.122,1.73,.519,-3.006
10,3718,2007,1,230,12.1,1.54,86.4,11.43,1.879,.127,1.456,1.867,.278,1.583,80,7.2,1.879,.125,1.398,1.838,.319,-2.972
10,3718,2007,1,240,12.1,1.071,78.4,9.04,1.573,.204,.565,1.521,.387,1.178,77.4,9.13,1.726,.191,.515,1.528,.365,-2.964
10,3718,2007,1,250,12.1,1.554,72.9,8.06,1.879,.208,1.431,1.931,.393,1.439,70.7,4.587,1.879,.322,1.081,1.885,.605,-2.944
10,3718,2007,1,300,12.1,1.72,91,5.188,2.185,.176,1.703,2.093,.205,1.658,84.7,4.293,2.032,.21,1.488,1.926,.37,-2.946
10,3718,2007,1,310,12.09,1.227,84.3,9.57,1.726,.224,.848,1.791,.512,1.215,76.8,5.157,1.573,.235,.721,1.608,.452,-2.911
10,3718,2007,1,320,12.09,1.531,83.5,8.51,2.338,.32,1.279,2.383,.592,1.518,71.7,9.47,2.797,.324,1.264,2.681,.545,-2.919
10,3718,2007,1,330,12.09,1.384,74,13.09,2.032,.27,1.051,2.095,.589,1.23,67.46,12.1,2.032,.333,.768,1.905,.549,-2.848
10,3718,2007,1,340,12.09,1.496,44.36,6.918,2.032,.254,1.211,1.96,.551,1.55,31.72,7.91,2.032,.24,1.338,1.896,.483,-2.836
10,3718,2007,1,350,12.09,1.739,44.73,7.36,2.338,.234,1.641,2.3,.374,1.689,32.77,3.874,2.185,.241,1.631,2.279,.355,-2.883
10,3718,2007,1,400,12.11,2.48,47.68,4.42,2.797,.156,2.456,2.84,.148,2.323,39.42,3.09,2.644,.133,2.3,2.703,.143,-2.927
10,3718,2007,1,410,12.11,2.604,31.77,7.72,3.103,.204,2.592,3.377,.223,2.574,24.22,5.456,3.103,.299,2.565,3.202,.304,-2.901
10,3718,2007,1,420,12.11,2.24,29.73,4.98,2.95,.243,2.191,2.832,.246,2.112,19.66,4.813,2.644,.253,2.071,2.676,.264,-2.941
10,3718,2007,1,430,12.11,2.59,39.27,5.713,2.95,.138,2.558,2.791,.118,2.344,36.52,5.318,2.797,.17,2.327,2.642,.168,-2.947
10,3718,2007,1,440,12.11,2.302,26.51,7.52,2.797,.195,2.263,2.705,.214,2.063,24.8,7.05,2.338,.152,2.034,2.478,.174,-2.941
10,3718,2007,1,450,12.1,2.278,9.33,5.143,2.644,.151,2.22,2.557,.166,2.202,5.64,5.253,2.797,.227,2.153,2.675,.235,-2.932
10,3718,2007,1,500,12.11,2.365,25.16,5.518,2.797,.182,2.344,2.823,.196,2.316,24.22,8.67,2.797,.241,2.285,2.804,.244,-2.928
10,3718,2007,1,510,12.11,2.647,22.25,4.598,2.95,.152,2.609,2.903,.162,2.672,23.9,5.448,3.103,.183,2.665,3.023,.194,-2.968
10,3718,2007,1,520,12.09,1.924,35.86,9.9,2.338,.214,1.849,2.214,.212,1.89,32.83,9.12,2.338,.211,1.816,2.389,.227,-3.017
10,3718,2007,1,530,12.09,1.822,37.56,7.16,2.185,.168,1.762,2.206,.18,1.885,30.57,6.828,2.185,.161,1.83,2.203,.163,-3.019
10,3718,2007,1,540,12.08,1.806,40.76,5.597,2.491,.256,1.708,2.55,.36,1.802,35.55,5.99,2.338,.293,1.697,2.28,.423,-3.005
10,3718,2007,1,550,12.08,1.777,42.45,6.414,2.185,.197,1.677,2.091,.296,1.771,35.93,4.521,2.185,.191,1.705,2.126,.303,-3.007
10,3718,2007,1,600,12.09,1.966,36.79,6.288,2.338,.203,1.9,2.302,.215,1.936,31.7,4.636,2.185,.172,1.905,2.244,.174,-2.973
10,3718,2007,1,610,12.09,2.084,44.09,6.215,2.491,.165,2.064,2.422,.164,1.725,39.12,6.646,2.185,.237,1.656,2.426,.343,-2.94
10,3718,2007,1,620,12.09,1.926,32.5,5.754,2.338,.181,1.842,2.253,.187,1.788,27.95,3.991,2.185,.182,1.757,2.247,.193,-2.914
10,3718,2007,1,630,12.08,1.975,36.24,9.82,2.338,.198,1.907,2.361,.201,1.933,33.2,9.1,2.338,.201,1.924,2.299,.205,-2.898
10,3718,2007,1,640,12.09,2.029,21.83,5.263,2.338,.156,1.961,2.317,.172,2.021,16.06,5.622,2.491,.203,2.015,2.422,.21,-2.867
10,3718,2007,1,650,12.07,1.86,23.63,1.251,2.185,.233,1.736,2.231,.344,1.842,20.34,3.008,2.338,.298,1.773,2.395,.409,-2.848
10,3718,2007,1,700,12.07,1.398,19.35,3.729,1.879,.231,1.01,1.792,.524,1.461,6.876,5.871,1.726,.181,1.214,1.8,.466,-2.882
10,3718,2007,1,710,11.85,1.284,18,4.999,1.573,.19,.796,1.536,.483,1.442,2.181,1.534,1.879,.215,1.212,1.877,.484,-2.933
