SDR	5.10.1

-----Logger Information-----
Model #	3090
Serial #	02577
Hardware Rev.	009-009-013

-----Site Information-----
Site #	0901
Site Desc	Goshen North 901
Project Code	GN901
Project Desc	Goshen North 901
Site Location	Idaho Falls, Idaho
Site Elevation	6027
Latitude	N43 D 26.767 M
Longitude	W111 D 51.317 M
Time offset (hrs)	-7

-----Sensor Information-----

Channel #	1
Type	1
Description	Max 40 Anemometer
Details	calibrated max 40, oriented@ 134
Serial Number	21932
Height	60
Scale Factor	0.7631
Offset	0.385
Units	m/s

Channel #	2
Type	1
Description	Max 40 Anemometer
Details	calibrated max 40, oriented@ 272
Serial Number	21933
Height	60
Scale Factor	0.7602
Offset	0.363
Units	m/s

Channel #	3
Type	1
Description	Max 40 Anemometer
Details	calibrated max 40, oriented@ 272
Serial Number	21934
Height	45
Scale Factor	0.7695
Offset	0.308
Units	m/s

Channel #	4
Type	1
Description	Max 40 Anemometer
Details	calibrated max 40, oriented@ 134
Serial Number	21935
Height	45
Scale Factor	0.759
Offset	0.402
Units	m/s

Channel #	5
Type	1
Description	Max 40 Anemometer
Details	calibrated max 40, oriented@ 272
Serial Number	21936
Height	30
Scale Factor	0.7678
Offset	0.354
Units	m/s

Channel #	6
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	7
Type	3
Description	#200P Wind Vane
Details	wind vane oriented@ 2
Serial Number	
Height	58
Scale Factor	0.351
Offset	0
Units	deg

Channel #	8
Type	3
Description	#200P Wind Vane
Details	wind vane oriented@ 2
Serial Number	
Height	43
Scale Factor	0.351
Offset	0
Units	deg

Channel #	9
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	10
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	11
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Channel #	12
Type	0
Description	No Sensor
Details	
Serial Number	
Height	
Scale Factor	0
Offset	0
Units	

Date & Time Stamp	CH1Avg	CH1SD	CH1Max	CH1Min	CH2Avg	CH2SD	CH2Max	CH2Min	CH3Avg	CH3SD	CH3Max	CH3Min	CH4Avg	CH4SD	CH4Max	CH4Min	CH5Avg	CH5SD	CH5Max	CH5Min	CH6Avg	CH6SD	CH6Max	CH6Min	CH7Avg	CH7SD	CH7Max	CH7Min	CH8Avg	CH8SD	CH8Max	CH8Min	CH9Avg	CH9SD	CH9Max	CH9Min	CH10Avg	CH10SD	CH10Max	CH10Min	CH11Avg	CH11SD	CH11Max	CH11Min	CH12Avg	CH12SD	CH12Max	CH12Min
02/04/2007 00:00:00	10.785	0.731	12.204	8.788	10.965	0.728	12.526	8.734	10.162	0.647	12.226	8.378	10.341	0.696	12.158	8.362	9.499	0.674	11.498	7.639					224	4	229	0	201	17	208	0																
02/04/2007 00:10:00	10.856	0.907	13.736	8.388	11.029	0.904	14.065	8.734	10.487	0.876	12.620	8.378	10.642	0.903	12.913	8.362	9.937	0.996	12.246	7.639					222	5	214	0	201	17	201	0																
02/04/2007 00:20:00	10.792	1.340	14.139	7.625	10.936	1.394	14.441	7.576	10.310	1.187	13.376	7.609	10.429	1.222	13.291	7.603	9.878	1.134	12.639	6.873					223	6	224	0	199	21	185	0																
02/04/2007 00:30:00	12.686	1.461	16.048	9.160	12.868	1.456	16.308	9.105	12.042	1.351	15.311	9.548	12.222	1.392	15.565	9.516	11.438	1.291	15.324	8.023					227	5	223	0	200	23	220	0																
02/04/2007 00:40:00	13.058	1.461	16.391	9.928	13.247	1.520	16.702	9.870	12.430	1.411	15.681	9.548	12.637	1.454	15.981	9.894	11.881	1.348	14.924	8.809					227	5	232	0	201	20	219	0																
02/04/2007 00:50:00	12.947	0.990	14.865	9.928	13.116	1.030	15.184	10.237	12.234	0.998	14.558	9.931	12.407	1.028	14.805	9.516	11.604	0.996	14.193	9.183					224	4	222	0	201	21	206	0																
02/04/2007 01:00:00	11.491	1.177	13.736	8.388	11.661	1.224	14.065	8.336	11.112	1.136	14.178	8.378	11.314	1.222	14.458	8.362	10.615	1.184	13.787	8.023					225	5	222	0	203	20	197	0																
02/04/2007 01:10:00	12.069	1.033	14.517	9.548	12.258	1.030	14.788	9.492	11.537	1.088	14.558	8.781	11.713	1.121	14.805	9.130	10.910	0.996	14.573	8.406					224	5	226	0	203	18	203	0																
02/04/2007 01:20:00	12.357	1.283	14.865	9.160	12.559	1.278	15.184	9.105	11.916	1.351	14.910	8.378	12.102	1.333	14.805	8.760	11.558	1.237	14.193	7.639					223	5	224	0	202	18	211	0																
02/04/2007 01:30:00	12.333	1.340	15.630	9.548	12.502	1.335	16.308	9.492	12.026	1.351	15.311	8.378	12.166	1.392	15.565	8.362	11.574	1.470	15.693	8.023					222	5	220	0	201	18	193	0																
02/04/2007 01:40:00	11.172	1.283	14.865	8.388	11.382	1.335	15.184	8.336	10.902	1.239	14.910	8.781	11.016	1.276	15.200	8.362	10.580	1.237	14.924	8.023					224	5	220	0	204	15	218	0																
02/04/2007 01:50:00	11.341	1.033	14.517	8.788	11.539	1.075	14.788	8.734	10.781	1.042	14.178	7.609	10.887	1.073	14.082	7.603	10.334	0.953	13.393	8.023					220	5	222	0	202	16	173	0																
02/04/2007 02:00:00	11.543	1.033	13.736	9.160	11.715	1.075	14.788	9.492	10.996	0.956	13.771	8.781	11.102	1.028	14.458	8.362	10.559	1.134	13.787	7.274					220	5	222	0	200	17	211	0																
02/04/2007 02:10:00	11.596	1.229	14.865	8.388	11.776	1.278	14.788	8.734	11.274	1.136	13.771	8.378	11.396	1.171	14.082	7.984	10.726	1.134	13.787	8.023					218	5	210	0	201	16	158	0																
