10,3719,,,PST,VDC,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,m/s,degtrue,deg,m/s,m/s,m/s,m/s,m/s,deg C
,,,,,,0.765,0.1408,,,,0.765,,,0.765,0.1408,,,,0.765,,,
,,,,,,0.349,0,,,,0.349,,,0.349,0,,,,0.349,,,
ArrayID,StationID,Year,JulianDay,Time,BattVolts,50mWS#1,49mWD,49mSDD,50mMxS#1,50mSDS#1,50mWS#2,50mMxS#2,50mSDS#2,26mWS#1,24mWD,24mSDD,26mMxS#1,26mSDS#1,26mWS#2,26mMxS#2,26mSDS#2,Temp
10,3719,2007,335,10,12.55,2.131,112.8,4.697,2.644,.26,2.03,2.425,.236,-9999,-9999,-9999,-9999,-9999,.725,1.889,.533,-4.003
10,3719,2007,335,20,12.54,2.218,117.2,3.603,2.797,.265,2.171,2.802,.262,-9999,-9999,-9999,-9999,-9999,.802,1.85,.543,-4.073
10,3719,2007,335,30,12.55,2.617,129.1,3.267,2.95,.159,2.594,2.94,.147,-9999,-9999,-9999,-9999,-9999,1.804,2.214,.194,-4.179
10,3719,2007,335,40,12.55,2.884,132.7,2.519,3.409,.228,2.875,3.353,.183,-9999,-9999,-9999,-9999,-9999,1.749,2.134,.226,-4.339
10,3719,2007,335,50,12.54,2.339,131,3.888,3.103,.399,2.345,3.079,.42,-9999,-9999,-9999,-9999,-9999,1.209,2.409,.621,-4.343
10,3719,2007,335,100,12.53,1.403,126,3.314,2.185,.327,1.24,2.064,.521,-9999,-9999,-9999,-9999,-9999,.378,1.294,.156,-4.227
10,3719,2007,335,110,12.53,.976,125.4,.601,1.726,.334,.577,1.621,.427,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.192
10,3719,2007,335,120,12.52,1.562,121.9,2.269,2.185,.232,1.423,2.107,.442,-9999,-9999,-9999,-9999,-9999,.356,1.132,.071,-4.091
10,3719,2007,335,130,12.52,2.153,112.8,.119,2.491,.132,2.139,2.434,.12,-9999,-9999,-9999,-9999,-9999,.511,1.364,.333,-4.092
10,3719,2007,335,140,12.52,1.567,105,6.246,2.338,.426,1.273,2.167,.72,-9999,-9999,-9999,-9999,-9999,.369,1.169,.126,-4.172
10,3719,2007,335,150,12.51,1.272,86.8,10.49,1.879,.215,.762,1.842,.517,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.405
10,3719,2007,335,200,12.51,1.156,68.33,2.608,1.726,.282,.696,1.594,.47,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.541
10,3719,2007,335,210,12.52,.396,74.6,4.31,.961,.138,.349,.349,0,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.686
10,3719,2007,335,220,12.51,.394,87,15.6,1.114,.152,.356,1.197,.077,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.702
10,3719,2007,335,230,12.51,.507,101.8,10.71,1.114,.236,.349,.349,0,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.709
10,3719,2007,335,240,12.5,.879,111.4,3.273,1.573,.32,.485,1.511,.326,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.647
10,3719,2007,335,250,12.5,.952,105.1,.078,1.573,.367,.52,1.645,.376,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.571
10,3719,2007,335,300,12.5,2.107,110.4,2.758,2.491,.235,2.056,2.476,.237,-9999,-9999,-9999,-9999,-9999,.363,1.195,.108,-4.583
10,3719,2007,335,310,12.49,1.391,103.3,2.826,2.491,.572,1.097,2.37,.73,-9999,-9999,-9999,-9999,-9999,.37,1.196,.128,-4.672
10,3719,2007,335,320,12.49,1.057,119.4,13.1,1.879,.487,.806,1.927,.604,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.732
10,3719,2007,335,330,12.48,1.437,141.7,3.487,2.185,.377,1.348,2.213,.566,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.807
10,3719,2007,335,340,12.48,.754,131.7,6.077,1.726,.458,.555,1.709,.426,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.757
10,3719,2007,335,350,12.48,.485,133.3,5.424,1.114,.223,.349,.349,0,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.675
10,3719,2007,335,400,12.47,1.471,128.9,4.789,2.185,.425,1.24,2.191,.666,-9999,-9999,-9999,-9999,-9999,.526,1.547,.377,-4.758
10,3719,2007,335,410,12.46,1.768,135.6,2.413,2.338,.249,1.716,2.117,.301,-9999,-9999,-9999,-9999,-9999,.481,1.502,.327,-4.843
10,3719,2007,335,420,12.46,1.152,134.4,1.383,1.726,.162,.98,1.574,.449,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.915
10,3719,2007,335,430,12.46,.813,132.5,3.342,1.573,.352,.478,1.488,.332,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.924
10,3719,2007,335,440,12.46,.552,144.8,9.8,1.114,.266,.356,1.163,.074,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.908
10,3719,2007,335,450,12.45,1.447,156.8,3.497,1.879,.211,1.258,1.789,.444,-9999,-9999,-9999,-9999,-9999,.356,1.176,.075,-4.902
10,3719,2007,335,500,12.45,1.445,150.7,4.988,1.879,.207,1.213,1.92,.492,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.878
10,3719,2007,335,510,12.45,1.109,150.8,4.657,1.573,.164,.627,1.503,.411,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.842
10,3719,2007,335,520,12.44,.622,157.2,12.05,1.42,.348,.437,1.395,.278,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.799
10,3719,2007,335,530,12.44,.872,152.9,5.766,1.42,.344,.479,1.488,.321,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.841
10,3719,2007,335,540,12.44,.462,134.2,18.28,.961,.192,.356,1.183,.076,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.835
10,3719,2007,335,550,12.44,.54,113.4,5.561,.961,.217,.349,.349,0,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.79
10,3719,2007,335,600,12.43,.349,119.7,.073,.349,0,.349,.349,0,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.868
10,3719,2007,335,610,12.42,.35,142.6,25.55,.502,.014,.356,1.139,.072,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.898
10,3719,2007,335,620,12.41,.962,169.5,6.455,1.726,.295,.54,1.585,.388,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.93
10,3719,2007,335,630,12.41,1.637,151.7,7.13,1.879,.165,1.55,1.945,.318,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.96
10,3719,2007,335,640,12.4,1.031,169.5,1.03,1.726,.32,.61,1.581,.456,-9999,-9999,-9999,-9999,-9999,.349,.349,0,-4.958
10,3719,2007,335,650,12.39,1.926,163.7,4.525,2.644,.464,1.891,2.59,.518,-9999,-9999,-9999,-9999,-9999,.873,1.516,.51,-5.039
10,3719,2007,335,700,12.4,2.305,166.7,3.23,2.491,.101,2.303,2.465,.078,-9999,-9999,-9999,-9999,-9999,1.742,2.017,.278,-4.948
10,3719,2007,335,710,12.41,2.361,170.2,2.322,2.797,.126,2.379,2.811,.105,-9999,-9999,-9999,-9999,-9999,1.99,2.084,.054,-4.936
